id,fecha_generacion,juego,numeros,sorteo_objetivo,estado,aciertos,score_afinidad,hora_dia,algoritmo,nota_especial,fecha_lanzamiento,modalidad
1768649003,2026-01-17 08:21:42,LOTO,"[2, 14, 15, 17, 23, 30]",5375,AUDITADO,3,15.0,8,gaussiano_inteligente_v1,NORMAL,18/01/2026 21:00,
1768646672,2026-01-17 07:26:03,LOTO4,"[1, 17, 18, 23]",11568,AUDITADO,1,0.0,7,oraculo_neural_v3,NORMAL,17/01/2026 14:00,
1768646263,2026-01-17 07:26:03,LOTO3,"[1, 6, 7]",23998,AUDITADO,2,2.0,7,forense_biometrico_v1,NORMAL,17/01/2026 14:00,
1768637930,2026-01-17 04:55:30,RACHA,"[2, 3, 6, 9, 10, 14, 15, 16, 17, 19]",10301,AUDITADO,5,15.0,4,forense_biometrico_v1,NORMAL,17/01/2026 15:00,
1768636038,2026-01-17 04:28:29,LOTO4,"[1, 5, 10, 11]",11568,AUDITADO,2,20.0,4,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 14:00,
1768651512,2026-01-17 08:53:32,LOTO3,"[1, 7, 8]",23998,AUDITADO,1,4.0,8,forense_biometrico_v1,NORMAL,17/01/2026 14:00,
1768646563,2026-01-17 07:26:03,LOTO4,"[1, 11, 16, 17]",11568,AUDITADO,3,50.0,7,forense_biometrico_v1,NORMAL,17/01/2026 14:00,
1768633050,2026-01-17 03:38:01,RACHA,"[1, 2, 5, 7, 8, 13, 14, 15, 17, 18]",10301,AUDITADO,5,15.0,3,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 15:00,
1768633040,2026-01-17 03:38:01,RACHA,"[1, 2, 3, 4, 8, 13, 15, 17, 18, 19]",10301,AUDITADO,6,30.0,3,oraculo_neural_v4,NORMAL,17/01/2026 15:00,
1768647813,2026-01-17 07:46:14,LOTO,"[2, 17, 22, 29, 30, 39]",5375,AUDITADO,3,15.0,7,oraculo_neural_v3,NORMAL,18/01/2026 21:00,
1768647077,2026-01-17 07:46:14,LOTO,"[8, 21, 27, 29, 37, 39]",5375,AUDITADO,0,0.0,7,markov_chain_v1,NORMAL,18/01/2026 21:00,
1768644217,2026-01-17 06:45:38,LOTO3,"[0, 7, 9]",23998,AUDITADO,1,4.0,6,oraculo_neural_v4,NORMAL,17/01/2026 14:00,
1768644227,2026-01-17 06:45:38,LOTO3,"[0, 7, 9]",23998,AUDITADO,1,4.0,6,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 14:00,
1768639881,2026-01-17 05:33:22,LOTO3,"[0, 7, 9]",23998,AUDITADO,1,4.0,5,oraculo_neural_v4,NORMAL,17/01/2026 14:00,
1768649941,2026-01-17 08:21:42,LOTO,"[6, 10, 11, 17, 31, 36]",5375,AUDITADO,1,0.83,8,oraculo_neural_v3,NORMAL,18/01/2026 21:00,
1768634176,2026-01-17 03:58:57,LOTO,"[2, 3, 17, 26, 36, 39]",5375,AUDITADO,2,1.67,3,oraculo_neural_v3,NORMAL,18/01/2026 21:00,
1768634909,2026-01-17 04:28:29,LOTO,"[7, 13, 28, 30, 31, 34]",5375,AUDITADO,1,0.83,4,forense_biometrico_v1,NORMAL,18/01/2026 21:00,
1768635968,2026-01-17 04:28:29,LOTO,"[8, 15, 18, 29, 33, 37]",5375,AUDITADO,0,0.0,4,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,18/01/2026 21:00,
1768643281,2026-01-17 06:29:22,LOTO4,"[1, 5, 9, 16]",11568,AUDITADO,2,20.0,6,oraculo_neural_v4,NORMAL,17/01/2026 14:00,
1768634537,2026-01-17 03:58:57,RACHA,"[2, 5, 7, 8, 9, 10, 11, 14, 15, 20]",10301,AUDITADO,5,15.0,3,forense_biometrico_v1,NORMAL,17/01/2026 15:00,
1768644247,2026-01-17 06:45:38,LOTO4,"[3, 11, 20, 21]",11568,AUDITADO,1,0.0,6,oraculo_neural_v3,NORMAL,17/01/2026 14:00,
1768636903,2026-01-17 04:43:34,LOTO3,"[0, 7, 9]",23998,AUDITADO,1,4.0,4,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 14:00,
1768640341,2026-01-17 05:57:20,LOTO,"[5, 18, 19, 22, 26, 37]",5375,AUDITADO,0,0.0,5,gaussiano_inteligente_v1,NORMAL,18/01/2026 21:00,
1768641409,2026-01-17 05:57:20,RACHA,"[1, 2, 6, 7, 8, 10, 13, 14, 15, 17]",10301,AUDITADO,6,30.0,5,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 15:00,
1768644287,2026-01-17 06:45:38,RACHA,"[1, 3, 4, 10, 11, 13, 14, 18, 19, 20]",10301,AUDITADO,7,50.0,6,oraculo_neural_v3,NORMAL,17/01/2026 15:00,
1768648902,2026-01-17 08:21:42,LOTO,"[7, 14, 22, 28, 29, 41]",5375,AUDITADO,0,0.0,8,forense_biometrico_v1,NORMAL,18/01/2026 21:00,
1768636863,2026-01-17 04:43:34,LOTO,"[1, 13, 15, 29, 33, 35]",5375,AUDITADO,0,0.0,4,oraculo_neural_v4,NORMAL,18/01/2026 21:00,
1768641349,2026-01-17 05:57:20,LOTO4,"[9, 11, 12, 17]",11568,AUDITADO,1,0.0,5,oraculo_neural_v3,NORMAL,17/01/2026 14:00,
1768635998,2026-01-17 04:28:29,LOTO3,"[0, 7, 9]",23998,AUDITADO,1,4.0,4,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 14:00,
1768641640,2026-01-17 05:57:20,RACHA,"[1, 4, 5, 6, 7, 12, 13, 16, 17, 20]",10301,AUDITADO,4,5.0,5,forense_biometrico_v1,NORMAL,17/01/2026 15:00,
1768651213,2026-01-17 08:41:04,RACHA,"[3, 5, 6, 8, 9, 10, 13, 14, 17, 18]",10301,AUDITADO,5,15.0,8,oraculo_neural_v3,NORMAL,17/01/2026 15:00,
1768647943,2026-01-17 07:46:14,RACHA,"[1, 2, 3, 7, 8, 13, 15, 16, 17, 20]",10301,AUDITADO,6,30.0,7,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 15:00,
1768644187,2026-01-17 06:45:38,LOTO,"[1, 13, 15, 29, 33, 35]",5375,AUDITADO,0,0.0,6,oraculo_neural_v4,NORMAL,18/01/2026 21:00,
1768633137,2026-01-17 03:58:57,LOTO,"[6, 11, 20, 30, 31, 41]",5375,AUDITADO,1,0.83,3,forense_biometrico_v1,NORMAL,18/01/2026 21:00,
